CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location,X Coordinate,Y Coordinate
LINK-003311,Manhattan,105,4,40.759713,-73.984131,Live,122148,719 7 AVENUE,10036,mn-05-122148,06/30/2017,02/18/2017,Midtown-Midtown South,1000000,1010000061,1012500,WEST 48 STREET,WEST 47 STREET,SE,,"(40.759713, -73.984131)",988646.2282700163,216061.04612328485
LINK-002066,Manhattan,109,7,40.829424,-73.948046,Live,136852,3632 BROADWAY,10031,mn-09-136852,03/13/2018,10/28/2017,Hamilton Heights,1062124,1020810061,1023300,WEST 149 STREET,WEST 150 STREET,SE,,"(40.829424, -73.948046)",998627.880536236,241463.04633993283
LINK-013597,Queens,403,21,40.747729,-73.883665,Live,125337,82-03 ROOSEVELT AVENUE,11372,qu-03-125337,09/07/2017,07/08/2017,Jackson Heights,4036213,4014700045,4028300,82 STREET,83 STREET,NE,,"(40.74772878, -73.88366475)",1016484.4310543198,211715.81294794753
LINK-000462,Manhattan,104,3,40.743579,-73.999894,Live,123508,197 8 AVENUE,10011,mn-04-123508,04/07/2016,03/18/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1013263,1007440036,1008900,WEST 20 STREET,WEST 21 STREET,NW,,"(40.7435787, -73.99989422)",984279.3115932698,210182.40127387643
LINK-013093,Brooklyn,314,40,40.641858,-73.962836,Live,126362,1626 CORTELYOU ROAD,11226,bk-14-126362,04/23/2018,12/02/2017,Flatbush,3118755,3051590010,3051400,EAST 17 STREET,EAST 16 STREET,SE,,"(40.64185835, -73.96283585)",994563.8929597047,173124.87003250048
LINK-018046,Queens,406,29,40.728067,-73.857446,Live,145767,98-22 QUEENS BOULEVARD,11374,qu-06-145767,04/05/2017,03/04/2017,Forest Hills,4072160,4030860018,4071306,65 ROAD,66 AVENUE,SE,81464,"(40.72806732, -73.85744565)",1023760.9294744141,204563.26687395945
LINK-000742,Manhattan,105,4,40.756742,-73.976530,Live,137210,410 MADISON AVENUE,10017,mn-05-137210,05/26/2017,04/30/2017,Midtown-Midtown South,1035437,1012840014,1009400,EAST 48 STREET,EAST 49 STREET,NW,,"(40.75674218, -73.97652976)",990752.3085241567,214979.15229050443
LINK-007150,Manhattan,105,3,40.763616,-73.984987,Live,122609,870 8 AVENUE,10019,mn-05-122609,11/16/2016,10/01/2016,Midtown-Midtown South,1024825,1010240001,1013100,WEST 52 STREET,WEST 53 STREET,NE,,"(40.76361577, -73.98498723)",988408.7810681692,217482.91153670847
LINK-003247,Manhattan,102,1,40.720596,-73.994075,Live,100727,178 BOWERY,10012,mn-02-100727,08/19/2016,07/12/2016,SoHo-TriBeCa-Civic Center-Little Italy,1007145,1004780027,1004100,KENMARE STREET,SPRING STREET,NW,,"(40.72059636, -73.99407509)",985892.35640067,201809.27102657035
LINK-011425,Bronx,201,17,40.819488,-73.913668,Live,123216,3015 3 AVENUE,10455,bx-01-123216,12/22/2016,10/29/2016,Melrose South-Mott Haven North,2097993,2023760047,2006700,EAST 155 STREET,EAST 154 STREET,SW,,"(40.81948845, -73.91366803)",1008145.2914855859,237850.6749857366
